[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --splash--> (no change) | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[IDLE] --interlude--> (no change) | a: - | v: -
[IDLE] --interlude--> (no change) | a: - | v: -
[IDLE] --interlude--> (no change) | a: - | v: -
[IDLE] --interlude--> (no change) | a: - | v: -
[IDLE] --entry--> [ENTRY] | a: 0all_counters | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[ENTRY] --entry--> (no change) | a: - | v: -
[ENTRY] --entry--> (no change) | a: - | v: -
[ENTRY] --entry--> (no change) | a: - | v: -
[ENTRY] --entry--> (no change) | a: - | v: -
[ENTRY] --entry--> (no change) | a: - | v: -
[ENTRY] --others--> (no change) | a: - | v: -
[ENTRY] --others--> (no change) | a: - | v: -
[ENTRY] --others--> (no change) | a: - | v: -
[ENTRY] --others--> (no change) | a: - | v: -
[ENTRY] --others--> (no change) | a: - | v: -
[ENTRY] --interlude--> (no change) | a: - | v: -
[ENTRY] --interlude--> (no change) | a: - | v: -
[ENTRY] --interlude--> (no change) | a: - | v: -
[ENTRY] --interlude--> (no change) | a: - | v: -
[ENTRY] --interlude--> (no change) | a: - | v: -
[ENTRY] --interlude--> (no change) | a: - | v: -
[ENTRY] --modesel--> [MODESEL] | a: - | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[MODESEL] --modesel--> (no change) | a: - | v: -
[MODESEL] --modesel--> (no change) | a: - | v: -
[MODESEL] --modesel--> (no change) | a: - | v: -
[MODESEL] --modesel--> (no change) | a: - | v: -
[MODESEL] --modesel--> (no change) | a: - | v: -
[MODESEL] --modesel--> (no change) | a: - | v: -
[MODESEL] --modesel--> (no change) | a: - | v: -
[MODESEL] --modesel--> (no change) | a: - | v: -
[MODESEL] --modesel--> (no change) | a: - | v: -
[MODESEL] --interlude--> (no change) | a: - | v: -
[MODESEL] --others--> (no change) | a: - | v: -
[MODESEL] --interlude--> (no change) | a: - | v: -
[MODESEL] --interlude--> (no change) | a: - | v: -
[MODESEL] --interlude--> (no change) | a: - | v: -
[MODESEL] --interlude--> (no change) | a: - | v: -
[MODESEL] --interlude--> (no change) | a: - | v: -
[MODESEL] --interlude--> (no change) | a: - | v: -
[MODESEL] --songsel--> [S_SONGSEL] | a: 0std_song_count | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --set--> (no change) | a: - | v: -
[S_SONGSEL] --set--> (no change) | a: - | v: -
[S_SONGSEL] --songsel--> (no change) | a: - | v: -
[S_SONGSEL] --confirm--> (no change) | a: - | v: -
[S_SONGSEL] --confirm--> (no change) | a: - | v: -
[S_SONGSEL] --confirm--> (no change) | a: - | v: -
[S_SONGSEL] --blank--> (no change) | a: +blank_counter | v: ar=0, br=0, sc=0, rc=0, dc=0, bc=0
[S_SONGSEL] --play1--> [S_PLAY] | a: +std_song_count, 0std_retry_count, enter_play | v: ar=0, br=0, sc=1, rc=0, dc=0, bc=0
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
[S_PLAY] --play1--> (no change) | a: - | v: -
