2pbscore,1550,546,1704,580
2pscore,1712,546,1867,580
2pbbp,1550,615,1704,648
2pbp,1712,615,1867,648
2ppg,1726,779,1853,807
2pgr,1726,807,1853,835
2pgd,1726,835,1853,863
2pbd,1726,863,1853,891
2ppr,1726,891,1853,919
2pcb,1765,979,1882,998
2pfast,1441,977,1519,993
2pslow,1441,993,1519,1008
1pbscore,201,546,355,580
1pscore,363,546,518,580
1pbbp,201,615,355,648
1pbp,363,615,518,648
1ppg,377,779,504,807
1pgr,377,807,504,835
1pgd,377,835,504,863
1pbd,377,863,504,891
1ppr,377,891,504,919
1pcb,416,979,533,998
1pfast,92,977,170,993
1pslow,92,993,170,1008
